"","date","NSEI.Open","NSEI.High","NSEI.Low","NSEI.Close","NSEI.Volume","NSEI.Adjusted","GSPC.Open","GSPC.High","GSPC.Low","GSPC.Close","GSPC.Volume","GSPC.Adjusted","IXIC.Open","IXIC.High","IXIC.Low","IXIC.Close","IXIC.Volume","IXIC.Adjusted","N225.Open","N225.High","N225.Low","N225.Close","N225.Volume","N225.Adjusted","HSI.Open","HSI.High","HSI.Low","HSI.Close","HSI.Volume","HSI.Adjusted","FTSE.Open","FTSE.High","FTSE.Low","FTSE.Close","FTSE.Volume","FTSE.Adjusted","INR.X.Open","INR.X.High","INR.X.Low","INR.X.Close","INR.X.Volume","INR.X.Adjusted","GBPINR.X.Open","GBPINR.X.High","GBPINR.X.Low","GBPINR.X.Close","GBPINR.X.Volume","GBPINR.X.Adjusted","JPYINR.X.Open","JPYINR.X.High","JPYINR.X.Low","JPYINR.X.Close","JPYINR.X.Volume","JPYINR.X.Adjusted","GOLD.Open","GOLD.High","GOLD.Low","GOLD.Close","GOLD.Volume","GOLD.Adjusted","F.CL.NYM.Open","F.CL.NYM.High","F.CL.NYM.Low","F.CL.NYM.Close","F.CL.NYM.Volume","F.CL.NYM.Adjusted"
"1",2017-08-01,10101.049805,10128.599609,10065.75,10114.650391,184300,10114.650391,2477.100098,2478.51001,2471.139893,2476.350098,3460860000,2476.350098,6372.160156,6375.75,6345.75,6362.939941,1812590000,6362.939941,19907.080078,20000.460938,19904.720703,19985.789063,110100,19985.789063,27326.039063,27558,27326.039063,27540.230469,2392422600,27540.230469,7372,7440.100098,7372,7423.700195,718389600,7423.700195,64.085503,64.129997,63.610001,64.055801,0,64.055801,84.604599,84.604599,84.604599,84.604599,0,84.604599,0.580047,0.580047,0.580047,0.580047,0,0.580047,92.800003,93.779999,92.519997,93.120003,311400,90.902855,NA,NA,NA,NA,NA,NA
"2",2017-08-02,10136.299805,10137.849609,10054.200195,10081.5,161500,10081.5,2480.379883,2480.379883,2466.47998,2477.570068,3478580000,2477.570068,6393.100098,6394.209961,6313.430176,6362.649902,2104130000,6362.649902,20057.070313,20113.730469,20022.050781,20080.039063,95600,20080.039063,27645.279297,27747.349609,27570.5,27607.380859,2052633600,27607.380859,7423.700195,7434.700195,7388.899902,7411.399902,709413000,7411.399902,63.640301,63.73,63.563,63.640598,0,63.640598,84.186302,84.186302,84.186302,84.186302,0,84.186302,0.574597,0.574597,0.574597,0.574597,0,0.574597,92.419998,93.400002,92.239998,92.660004,798700,90.453812,NA,NA,NA,NA,NA,NA
"3",2017-08-03,10081.150391,10081.150391,9998.25,10013.650391,192700,10013.650391,2476.030029,2476.030029,2468.850098,2472.159912,3645020000,2472.159912,6366.240234,6368.529785,6331.140137,6340.339844,2113440000,6340.339844,20066,20070.160156,19985.400391,20029.259766,89300,20029.259766,27533.509766,27601.050781,27399.580078,27531.009766,1682624400,27531.009766,7411.399902,7484.5,7384.200195,7474.799805,795756800,7474.799805,63.695499,63.75,63.573002,63.696999,0,63.696999,83.723701,83.723701,83.723701,83.723701,0,83.723701,0.579591,0.579591,0.579591,0.579591,0,0.579591,94.889999,96.5,94.529999,95.099998,856400,92.835709,NA,NA,NA,NA,NA,NA
"4",2017-08-04,10008.599609,10075.25,9988.349609,10066.400391,178600,10066.400391,2476.879883,2480,2472.080078,2476.830078,3235140000,2476.830078,6350.790039,6361.490234,6329.72998,6351.560059,1907170000,6351.560059,19949.789063,19984.509766,19933.589844,19952.330078,76500,19952.330078,27564.710938,27615.029297,27508.109375,27562.679688,1464939100,27562.679688,7474.799805,7519.100098,7465.100098,7511.700195,753461700,7511.700195,63.695499,63.75,63.573002,63.696999,0,63.696999,83.723701,83.723701,83.723701,83.723701,0,83.723701,0.579591,0.579591,0.579591,0.579591,0,0.579591,94.440002,94.620003,92.540001,94.169998,704600,91.927856,NA,NA,NA,NA,NA,NA
"5",2017-08-07,10074.799805,10088.099609,10046.349609,10057.400391,137400,10057.400391,2477.139893,2480.949951,2475.879883,2480.909912,2931780000,2480.909912,6361.060059,6386.029785,6356.22998,6383.77002,1701550000,6383.77002,20059.289063,20085.900391,20037.400391,20055.890625,75300,20055.890625,27665.710938,27731.919922,27629.199219,27690.359375,1484632800,27690.359375,7511.700195,7533.700195,7511.700195,7531.899902,613223700,7531.899902,63.830502,63.860001,63.612999,63.830101,0,63.830101,83.220497,83.220497,83.220497,83.220497,0,83.220497,0.576344,0.576344,0.576344,0.576344,0,0.576344,93.43,94.769997,93.360001,93.699997,364200,91.46904,NA,NA,NA,NA,NA,NA
"6",2017-08-08,10068.349609,10083.799805,9947,9978.549805,203300,9978.549805,2478.350098,2490.870117,2470.320068,2474.919922,3344640000,2474.919922,6373.330078,6423.350098,6355.879883,6370.459961,1914670000,6370.459961,20062.650391,20076.800781,19970.570313,19996.009766,80400,19996.009766,27684.599609,27867.560547,27626.189453,27854.910156,1726572600,27854.910156,7531.899902,7551.899902,7518.5,7542.700195,597542000,7542.700195,63.682499,63.91,63.682499,63.7029,0,63.7029,82.7257,82.7257,82.7257,82.7257,0,82.7257,0.578581,0.578581,0.578581,0.578581,0,0.578581,93.970001,94.199997,92.669998,93.43,467700,91.205475,NA,NA,NA,NA,NA,NA
"7",2017-08-09,9961.150391,9969.799805,9893.049805,9908.049805,169200,9908.049805,2465.350098,2474.409912,2462.080078,2474.02002,3308060000,2474.02002,6322.919922,6355.040039,6309.439941,6352.330078,2033760000,6352.330078,19928.960938,19945.279297,19660.220703,19738.710938,104400,19738.710938,27760.080078,27876.119141,27602.660156,27757.089844,1650670500,27757.089844,7542.700195,7542.700195,7475.799805,7498.100098,779812300,7498.100098,63.850498,64.169998,63.84,63.887699,0,63.887699,83.143799,83.143799,83.143799,83.143799,0,83.143799,0.580539,0.580539,0.580539,0.580539,0,0.580539,96.68,97.160004,95.300003,95.589996,1095600,93.314041,NA,NA,NA,NA,NA,NA
"8",2017-08-10,9872.849609,9892.650391,9776.200195,9820.25,235500,9820.25,2465.379883,2465.379883,2437.75,2438.209961,3621070000,2438.209961,6312.649902,6318.279785,6214.410156,6216.870117,2204700000,6216.870117,19792.449219,19829.880859,19685.830078,19729.740234,104200,19729.740234,27791.359375,27791.359375,27267.029297,27444,2175962000,27444,7498.100098,7498.100098,7376.700195,7389.899902,713176100,7389.899902,64.087997,64.254997,64.029999,64.138603,0,64.138603,83.230904,83.230904,83.230904,83.230904,0,83.230904,0.587856,0.587856,0.587856,0.587856,0,0.587856,96.220001,97.080002,96.050003,96.93,779400,94.622139,NA,NA,NA,NA,NA,NA
"9",2017-08-11,9712.150391,9771.650391,9685.549805,9710.799805,285900,9710.799805,2441.040039,2448.090088,2437.850098,2441.320068,3159930000,2441.320068,6222.180176,6266.890137,6216.189941,6256.560059,1794850000,6256.560059,19792.449219,19829.880859,19685.830078,19729.740234,104200,19729.740234,27000.429688,27184.210938,26863.710938,26883.509766,3133494700,26883.509766,7389.899902,7390,7296.5,7310,744594900,7310,64.087997,64.254997,64.029999,64.138603,0,64.138603,83.230904,83.230904,83.230904,83.230904,0,83.230904,0.587856,0.587856,0.587856,0.587856,0,0.587856,97.099998,97.949997,96.730003,97.940002,580400,95.608093,NA,NA,NA,NA,NA,NA
"10",2017-08-14,9755.75,9818.299805,9752.099609,9794.150391,195600,9794.150391,2454.959961,2468.219971,2454.959961,2465.840088,2822550000,2465.840088,6306.109863,6346.830078,6305.549805,6340.22998,1698560000,6340.22998,19545.580078,19598.410156,19486.480469,19537.099609,108300,19537.099609,27091.769531,27268.230469,27032.400391,27250.230469,1416372000,27250.230469,7310,7377.700195,7310,7353.899902,536696000,7353.899902,64.082001,64.245003,63.849998,64.174301,0,64.174301,83.202797,83.202797,83.202797,83.202797,0,83.202797,0.583764,0.583764,0.583764,0.583764,0,0.583764,96.25,96.790001,95.709999,96.139999,390900,93.850952,NA,NA,NA,NA,NA,NA
